Tipologia,Frecuencia,Porcentaje,Nodos,Aristas,Densidad,Frecuencia_acumulada
T271,4,0.01,6,8,0.2667,98.67
T272,3,0,7,3,0.0714,98.67
T273,3,0,8,10,0.1786,98.67
T274,3,0,7,4,0.0952,98.67
T275,3,0,7,4,0.0952,98.67
T276,3,0,7,7,0.1667,98.67
T277,3,0,6,5,0.1667,98.67
T278,3,0,8,12,0.2143,98.67
T279,3,0,8,12,0.2143,98.67
T280,3,0,7,5,0.119,98.67
T281,3,0,7,5,0.119,98.67
T282,3,0,7,7,0.1667,98.67
T283,3,0,7,9,0.2143,98.67
T284,3,0,7,10,0.2381,98.67
T285,3,0,7,9,0.2143,98.67
T286,3,0,6,6,0.2,98.67
T287,3,0,6,4,0.1333,98.67
T288,3,0,6,6,0.2,98.67
T289,3,0,6,4,0.1333,98.67
T290,3,0,6,5,0.1667,98.67
T291,3,0,6,4,0.1333,98.67
T292,3,0,4,4,0.3333,98.67
T293,3,0,8,7,0.125,98.67
T294,3,0,7,10,0.2381,98.67
T295,3,0,7,11,0.2619,98.67
T296,3,0,8,7,0.125,98.67
T297,3,0,8,7,0.125,98.67
T298,3,0,7,6,0.1429,98.67
T299,3,0,6,6,0.2,98.67
T300,3,0,7,10,0.2381,98.67
T301,3,0,6,9,0.3,98.67
T302,3,0,8,12,0.2143,98.67
T303,3,0,7,9,0.2143,98.67
T304,3,0,7,11,0.2619,98.67
T305,3,0,7,8,0.1905,98.67
T306,3,0,7,8,0.1905,98.67
T307,3,0,6,4,0.1333,98.67
T308,3,0,6,7,0.2333,98.67
T309,3,0,6,4,0.1333,98.67
T310,3,0,6,5,0.1667,98.67
T311,3,0,5,5,0.25,98.67
T312,3,0,8,13,0.2321,98.67
T313,3,0,6,8,0.2667,98.67
T314,3,0,8,13,0.2321,98.67
T315,3,0,7,11,0.2619,98.67
T316,3,0,6,6,0.2,98.67
T317,3,0,7,10,0.2381,98.67
T318,3,0,5,6,0.3,98.67
T319,3,0,6,5,0.1667,98.67
T320,3,0,6,8,0.2667,98.67
T321,3,0,6,6,0.2,98.67
T322,3,0,6,10,0.3333,98.67
T323,2,0,8,4,0.0714,98.67
T324,2,0,7,2,0.0476,98.67
T325,2,0,6,3,0.1,98.67
T326,2,0,7,5,0.119,98.67
T327,2,0,6,2,0.0667,98.67
T328,2,0,6,3,0.1,98.67
T329,2,0,8,9,0.1607,98.67
T330,2,0,8,5,0.0893,98.67
T331,2,0,7,6,0.1429,98.67
T332,2,0,7,4,0.0952,98.67
T333,2,0,7,7,0.1667,98.67
T334,2,0,7,5,0.119,98.67
T335,2,0,7,6,0.1429,98.67
T336,2,0,6,3,0.1,98.67
T337,2,0,9,14,0.1944,98.67
T338,2,0,8,9,0.1607,98.67
T339,2,0,8,10,0.1786,98.67
T340,2,0,6,6,0.2,98.67
T341,2,0,8,11,0.1964,98.67
T342,2,0,8,12,0.2143,98.67
T343,2,0,8,10,0.1786,98.67
T344,2,0,8,12,0.2143,98.67
T345,2,0,8,10,0.1786,98.67
T346,2,0,7,6,0.1429,98.67
T347,2,0,7,6,0.1429,98.67
T348,2,0,7,5,0.119,98.67
T349,2,0,7,7,0.1667,98.67
T350,2,0,8,7,0.125,98.67
T351,2,0,7,4,0.0952,98.67
T352,2,0,7,5,0.119,98.67
T353,2,0,7,5,0.119,98.67
T354,2,0,6,4,0.1333,98.67
T355,2,0,6,7,0.2333,98.67
T356,2,0,6,6,0.2,98.67
T357,2,0,7,8,0.1905,98.67
T358,2,0,7,8,0.1905,98.67
T359,2,0,6,6,0.2,98.67
T360,2,0,6,7,0.2333,98.67
T361,2,0,6,6,0.2,98.67
T362,2,0,6,6,0.2,98.67
T363,2,0,5,4,0.2,98.67
T364,2,0,5,5,0.25,98.67
T365,2,0,10,18,0.2,98.67
T366,2,0,10,18,0.2,98.67
T367,2,0,9,13,0.1806,98.67
T368,2,0,8,9,0.1607,98.67
T369,2,0,8,10,0.1786,98.67
T370,2,0,8,13,0.2321,98.67
T371,2,0,9,16,0.2222,98.67
T372,2,0,9,16,0.2222,98.67
T373,2,0,9,16,0.2222,98.67
T374,2,0,9,16,0.2222,98.67
T375,2,0,9,16,0.2222,98.67
T376,2,0,10,12,0.1333,98.67
T377,2,0,9,14,0.1944,98.67
T378,2,0,7,7,0.1667,98.67
T379,2,0,7,7,0.1667,98.67
T380,2,0,7,7,0.1667,98.67
T381,2,0,7,9,0.2143,98.67
T382,2,0,7,10,0.2381,98.67
T383,2,0,7,8,0.1905,98.67
T384,2,0,7,8,0.1905,98.67
T385,2,0,7,11,0.2619,98.67
T386,2,0,7,10,0.2381,98.67
T387,2,0,7,11,0.2619,98.67
T388,2,0,7,10,0.2381,98.67
T389,2,0,7,10,0.2381,98.67
T390,2,0,7,11,0.2619,98.67
T391,2,0,8,12,0.2143,98.67
T392,2,0,8,14,0.25,98.67
T393,2,0,10,13,0.1444,98.67
T394,2,0,10,15,0.1667,98.67
T395,2,0,9,12,0.1667,98.67
T396,2,0,8,12,0.2143,98.67
T397,2,0,8,13,0.2321,98.67
T398,2,0,8,9,0.1607,98.67
T399,2,0,8,7,0.125,98.67
T400,2,0,8,10,0.1786,98.67
T401,2,0,8,12,0.2143,98.67
T402,2,0,8,12,0.2143,98.67
T403,2,0,7,6,0.1429,98.67
T404,2,0,7,8,0.1905,98.67
T405,2,0,7,7,0.1667,98.67
T406,2,0,7,8,0.1905,98.67
T407,2,0,7,7,0.1667,98.67
T408,2,0,6,6,0.2,98.67
T409,2,0,6,7,0.2333,98.67
T410,2,0,6,7,0.2333,98.67
T411,2,0,6,8,0.2667,98.67
T412,2,0,6,7,0.2333,98.67
T413,2,0,9,15,0.2083,98.67
T414,2,0,7,11,0.2619,98.67
T415,2,0,7,11,0.2619,98.67
T416,2,0,7,10,0.2381,98.67
T417,2,0,9,15,0.2083,98.67
T418,2,0,8,7,0.125,98.67
T419,2,0,8,12,0.2143,98.67
T420,2,0,7,7,0.1667,98.67
T421,2,0,7,7,0.1667,98.67
T422,2,0,7,6,0.1429,98.67
T423,2,0,7,6,0.1429,98.67
T424,2,0,7,9,0.2143,98.67
T425,2,0,7,11,0.2619,98.67
T426,2,0,7,8,0.1905,98.67
T427,2,0,6,6,0.2,98.67
T428,2,0,6,6,0.2,98.67
T429,2,0,6,7,0.2333,98.67
T430,2,0,5,5,0.25,98.67
T431,2,0,5,6,0.3,98.67
T432,2,0,5,7,0.35,98.67
T433,2,0,8,12,0.2143,98.67
T434,2,0,6,9,0.3,98.67
T435,2,0,7,8,0.1905,98.67
T436,2,0,7,7,0.1667,98.67
T437,2,0,7,9,0.2143,98.67
T438,2,0,6,4,0.1333,98.67
T439,2,0,6,5,0.1667,98.67
T440,2,0,6,5,0.1667,98.67
T441,2,0,6,7,0.2333,98.67
T442,2,0,6,5,0.1667,98.67
T443,2,0,6,6,0.2,98.67
T444,2,0,6,7,0.2333,98.67
T445,2,0,6,7,0.2333,98.67
T446,2,0,6,9,0.3,98.67
T447,2,0,5,5,0.25,98.67
T448,2,0,5,5,0.25,98.67
T449,2,0,7,10,0.2381,98.67
T450,2,0,7,12,0.2857,98.67
T451,2,0,7,11,0.2619,98.67
T452,2,0,7,9,0.2143,98.67
T453,2,0,6,4,0.1333,98.67
T454,2,0,6,6,0.2,98.67
T455,2,0,6,8,0.2667,98.67
T456,2,0,5,6,0.3,98.67
T457,1,0,7,0,0,98.67
T458,1,0,8,0,0,98.67
T459,1,0,9,4,0.0556,98.67
T460,1,0,9,2,0.0278,98.67
T461,1,0,9,6,0.0833,98.67
T462,1,0,8,2,0.0357,98.67
T463,1,0,8,3,0.0536,98.67
T464,1,0,9,4,0.0556,98.67
T465,1,0,9,6,0.0833,98.67
T466,1,0,9,3,0.0417,98.67
T467,1,0,11,6,0.0545,98.67
T468,1,0,7,1,0.0238,98.67
T469,1,0,11,8,0.0727,98.67
T470,1,0,10,9,0.1,98.67
T471,1,0,10,12,0.1333,98.67
T472,1,0,7,2,0.0476,98.67
T473,1,0,9,5,0.0694,98.67
T474,1,0,7,3,0.0714,98.67
T475,1,0,13,7,0.0449,98.67
T476,1,0,9,8,0.1111,98.67
T477,1,0,8,4,0.0714,98.67
T478,1,0,8,4,0.0714,98.67
T479,1,0,8,6,0.1071,98.67
T480,1,0,8,6,0.1071,98.67
T481,1,0,12,17,0.1288,98.67
T482,1,0,8,3,0.0536,98.67
T483,1,0,12,13,0.0985,98.67
T484,1,0,8,8,0.1429,98.67
T485,1,0,6,1,0.0333,98.67
T486,1,0,10,10,0.1111,98.67
T487,1,0,11,16,0.1455,98.67
T488,1,0,10,7,0.0778,98.67
T489,1,0,10,14,0.1556,98.67
T490,1,0,18,30,0.098,98.67
T491,1,0,7,4,0.0952,98.67
T492,1,0,9,7,0.0972,98.67
T493,1,0,7,2,0.0476,98.67
T494,1,0,7,3,0.0714,98.67
T495,1,0,9,10,0.1389,98.67
T496,1,0,9,6,0.0833,98.67
T497,1,0,9,7,0.0972,98.67
T498,1,0,7,4,0.0952,98.67
T499,1,0,9,10,0.1389,98.67
T500,1,0,9,7,0.0972,98.67
T501,1,0,9,10,0.1389,98.67
T502,1,0,9,7,0.0972,98.67
T503,1,0,14,24,0.1319,98.67
T504,1,0,8,7,0.125,98.67
T505,1,0,9,10,0.1389,98.67
T506,1,0,8,6,0.1071,98.67
T507,1,0,8,10,0.1786,98.67
T508,1,0,8,8,0.1429,98.67
T509,1,0,8,3,0.0536,98.67
T510,1,0,8,5,0.0893,98.67
T511,1,0,8,8,0.1429,98.67
T512,1,0,8,8,0.1429,98.67
T513,1,0,12,14,0.1061,98.67
T514,1,0,11,11,0.1,98.67
T515,1,0,11,9,0.0818,98.67
T516,1,0,8,6,0.1071,98.67
T517,1,0,7,5,0.119,98.67
T518,1,0,7,5,0.119,98.67
T519,1,0,7,6,0.1429,98.67
T520,1,0,8,6,0.1071,98.67
T521,1,0,11,14,0.1273,98.67
T522,1,0,11,9,0.0818,98.67
T523,1,0,11,13,0.1182,98.67
T524,1,0,7,3,0.0714,98.67
T525,1,0,7,5,0.119,98.67
T526,1,0,7,7,0.1667,98.67
T527,1,0,7,8,0.1905,98.67
T528,1,0,11,9,0.0818,98.67
T529,1,0,11,13,0.1182,98.67
T530,1,0,10,8,0.0889,98.67
T531,1,0,7,5,0.119,98.67
T532,1,0,10,11,0.1222,98.67
T533,1,0,9,9,0.125,98.67
T534,1,0,9,11,0.1528,98.67
T535,1,0,6,4,0.1333,98.67
T536,1,0,11,17,0.1545,98.67
T537,1,0,6,3,0.1,98.67
