"Tipologia","Frecuencia","Household"
"T1",10371,110710800801
"T1",10371,110710810101
"T1",10371,110710810601
"T1",10371,110710811501
"T1",10371,110710820801
"T1",10371,110710830401
"T1",10371,110710840601
"T1",10371,110710840701
"T1",10371,110710870501
"T1",10371,110710900601
"T1",10371,110710910401
"T1",10371,110710930701
"T1",10371,110710940901
"T1",10371,110710941601
"T1",10371,110710951601
"T1",10371,110710960101
"T1",10371,110710961201
"T1",10371,110711010801
"T1",10371,110711020201
"T1",10371,110711040301
"T1",10371,110711040401
"T1",10371,110711070801
"T1",10371,110711080201
"T1",10371,110711120701
"T1",10371,110711130301
"T1",10371,110711180201
"T1",10371,110711190401
"T1",10371,110711270201
"T1",10371,110711270301
"T1",10371,110711280501
"T1",10371,110711321401
"T1",10371,110711330701
"T1",10371,110711340601
"T1",10371,110711370301
"T1",10371,140110010301
"T1",10371,140110040101
"T1",10371,140110040801
"T1",10371,140110050301
"T1",10371,140110050401
"T1",10371,140110050701
"T1",10371,140110050901
"T1",10371,140110110201
"T1",10371,140110130401
"T1",10371,140130020601
"T1",10371,140230010601
"T1",10371,140230011001
"T1",10371,140230020701
"T1",10371,140230031101
"T1",10371,140430010601
"T1",10371,140430011001
"T1",10371,140430020601
"T1",10371,140430020901
"T1",10371,140430030101
"T1",10371,140520020701
"T1",10371,140520021301
"T1",10371,140520030101
"T1",10371,140520030201
"T1",10371,140520031701
"T1",10371,140520032002
"T1",10371,140530010601
"T1",10371,140530010701
"T1",10371,140530020401
"T1",10371,140530020601
"T1",10371,140530021101
"T1",10371,140530030101
"T1",10371,140530030102
"T1",10371,140530030601
"T1",10371,210110010401
"T1",10371,210110030401
"T1",10371,210110030601
"T1",10371,210110060701
"T1",10371,210110100101
"T1",10371,210110110901
"T1",10371,210110131601
"T1",10371,210110150501
"T1",10371,210110160302
"T1",10371,210110160401
"T1",10371,210110160601
"T1",10371,210110180101
"T1",10371,210110210401
"T1",10371,210110211301
"T1",10371,210110220301
"T1",10371,210110230501
"T1",10371,210110240101
"T1",10371,210110240201
"T1",10371,210110240301
"T1",10371,210110251101
"T1",10371,210110260101
"T1",10371,210110261101
"T1",10371,210110280201
"T1",10371,210110280501
"T1",10371,210110310201
"T1",10371,210110310601
"T1",10371,210110340701
"T1",10371,210110340801
"T1",10371,210110350801
"T1",10371,210110370101
"T1",10371,210110400301
"T1",10371,210110400801
"T1",10371,210110401101
"T1",10371,210110430401
"T1",10371,210110451201
"T1",10371,210110451701
"T1",10371,210110451901
"T1",10371,210110460201
"T1",10371,210110461501
"T1",10371,210110510901
"T1",10371,210110511301
"T1",10371,210110511401
"T1",10371,210110520101
"T1",10371,210110520701
"T1",10371,210110530301
"T1",10371,210110540201
"T1",10371,210110540301
"T1",10371,210110540601
"T1",10371,210110540901
"T1",10371,210110541401
"T1",10371,210110541901
"T1",10371,210110600601
"T1",10371,210110600701
"T1",10371,210110610401
"T1",10371,210110620701
"T1",10371,210110650201
"T1",10371,210110660201
"T1",10371,210110660401
"T1",10371,210110700401
"T1",10371,210110710301
"T1",10371,210110720101
"T1",10371,210110730201
"T1",10371,210110731101
"T1",10371,210110750201
"T1",10371,210110760301
"T1",10371,210110771201
"T1",10371,210110790501
"T1",10371,210110810102
"T1",10371,210110810501
"T1",10371,210110820601
"T1",10371,210110820801
"T1",10371,210110820901
"T1",10371,210110821301
"T1",10371,210110821701
"T1",10371,210110830201
"T1",10371,210110840101
"T1",10371,210110840201
"T1",10371,210110840401
"T1",10371,210110850501
"T1",10371,210110850601
"T1",10371,210110850701
"T1",10371,210110860502
"T1",10371,210110861401
"T1",10371,210110870301
"T1",10371,210110880201
"T1",10371,210110900101
"T1",10371,210110911101
"T1",10371,210110920301
"T1",10371,210110920701
"T1",10371,210110970501
"T1",10371,210110970801
"T1",10371,210111010401
"T1",10371,210111020701
"T1",10371,210111060201
"T1",10371,210111100201
"T1",10371,210111100301
"T1",10371,210111100401
"T1",10371,210111101201
"T1",10371,210111120201
"T1",10371,210111150102
"T1",10371,210111160101
"T1",10371,210111160201
"T1",10371,210111170201
"T1",10371,210111180101
"T1",10371,210111180301
"T1",10371,210111200101
"T1",10371,210111210801
"T1",10371,210111220201
"T1",10371,210111230201
"T1",10371,210111241301
"T1",10371,210111241401
"T1",10371,210111241501
"T1",10371,210111260501
"T1",10371,210111261101
"T1",10371,210111270401
"T1",10371,210111280101
"T1",10371,210111290201
"T1",10371,210111300601
"T1",10371,210111300701
"T1",10371,210111301001
"T1",10371,210111311201
"T1",10371,210111320701
"T1",10371,210111321101
"T1",10371,210111330301
"T1",10371,210111340201
"T1",10371,210111370101
"T1",10371,210111370301
"T1",10371,210111380301
"T1",10371,210111400501
"T1",10371,210111410201
"T1",10371,210111410801
"T1",10371,210111430201
"T1",10371,210111440601
"T1",10371,210111460801
"T1",10371,210111460901
"T1",10371,210111520201
"T1",10371,210111531101
"T1",10371,210111531901
"T1",10371,210111541001
"T1",10371,210111541101
"T1",10371,210111560401
"T1",10371,210111560601
"T1",10371,210111560801
"T1",10371,210111590101
"T1",10371,210111620301
"T1",10371,210111640301
"T1",10371,210111640801
"T1",10371,210111641301
"T1",10371,210111642001
"T1",10371,210111670101
"T1",10371,210111691601
"T1",10371,210111691701
"T1",10371,210111720301
"T1",10371,210111730301
"T1",10371,210111730401
"T1",10371,210111740201
"T1",10371,210111740401
"T1",10371,210111760102
"T1",10371,210111790401
"T1",10371,210111790501
"T1",10371,210111820301
"T1",10371,210111831501
"T1",10371,210111831901
"T1",10371,210111860201
"T1",10371,210111910901
"T1",10371,210111911701
"T1",10371,210111920201
"T1",10371,210111930601
"T1",10371,210111930801
"T1",10371,210111940701
"T1",10371,210111950501
"T1",10371,210111960301
"T1",10371,210111960501
"T1",10371,210111960801
"T1",10371,210111980701
"T1",10371,210111990201
"T1",10371,210112020301
"T1",10371,210112030801
"T1",10371,210112040701
"T1",10371,210112110602
"T1",10371,210112110701
"T1",10371,210112160701
"T1",10371,210112180101
"T1",10371,210112210501
"T1",10371,210112210801
"T1",10371,210112250201
"T1",10371,210112290401
"T1",10371,210112290801
"T1",10371,210112330401
"T1",10371,210112340201
"T1",10371,210112350901
"T1",10371,210112351201
"T1",10371,210112360401
"T1",10371,210112390301
"T1",10371,210112400401
"T1",10371,210112400602
"T1",10371,210112410101
"T1",10371,210112420401
"T1",10371,210112420601
"T1",10371,210112420802
"T1",10371,210112450401
"T1",10371,210112470301
"T1",10371,210112480501
"T1",10371,210112480801
"T1",10371,210112500301
"T1",10371,210112520701
"T1",10371,210112540101
"T1",10371,210112540301
"T1",10371,210112561201
"T1",10371,210112570801
"T1",10371,210112571601
"T1",10371,210112571701
"T1",10371,210112580101
"T1",10371,210112590401
"T1",10371,210112600101
"T1",10371,210112600601
"T1",10371,210112610201
"T1",10371,210112690201
"T1",10371,210112700501
"T1",10371,210112730301
"T1",10371,210112740101
"T1",10371,210112740601
"T1",10371,210112740701
"T1",10371,210112790101
"T1",10371,210112810501
"T1",10371,210112810701
"T1",10371,210112820501
"T1",10371,210112820701
"T1",10371,210112860301
"T1",10371,210112870201
"T1",10371,210112880101
"T1",10371,210112880301
"T1",10371,210112930401
"T1",10371,210112930601
"T1",10371,210112950301
"T1",10371,210112950601
"T1",10371,210112951201
"T1",10371,210112980101
"T1",10371,210210030101
"T1",10371,210210050101
"T1",10371,210210060401
"T1",10371,210210070201
"T1",10371,210210070301
"T1",10371,210210120201
"T1",10371,210210130601
"T1",10371,210330010701
"T1",10371,210330010901
"T1",10371,210330020401
"T1",10371,210410020501
"T1",10371,210410030201
"T1",10371,210410040101
"T1",10371,210410040201
"T1",10371,210410050101
"T1",10371,210410060101
"T1",10371,210410070901
"T1",10371,210410080101
"T1",10371,210410080201
"T1",10371,220110010301
"T1",10371,220110050201
"T1",10371,220110070801
"T1",10371,220110080401
"T1",10371,220110151001
"T1",10371,220110160401
"T1",10371,220110270101
"T1",10371,220110290301
"T1",10371,220110370201
"T1",10371,220110370701
"T1",10371,220110410301
"T1",10371,220110410401
"T1",10371,220110410501
"T1",10371,220110420301
"T1",10371,220110420901
"T1",10371,220110460201
"T1",10371,220110470101
"T1",10371,220110510401
"T1",10371,220110550101
"T1",10371,220110620401
"T1",10371,220110620501
"T1",10371,220110620601
"T1",10371,220110630301
"T1",10371,220110640801
"T1",10371,220110650601
"T1",10371,220110671301
"T1",10371,220110690101
"T1",10371,220110750301
"T1",10371,220110790402
"T1",10371,220110820401
"T1",10371,220110820701
"T1",10371,220110840701
"T1",10371,220110880501
"T1",10371,220110880701
"T1",10371,220110881001
"T1",10371,220110890301
"T1",10371,220110891101
"T1",10371,220110900201
"T1",10371,220110910301
"T1",10371,220110910701
"T1",10371,220110940201
"T1",10371,220110960101
"T1",10371,220110960301
"T1",10371,220110961001
"T1",10371,220110961501
"T1",10371,220110980401
"T1",10371,220110990801
"T1",10371,220111010101
"T1",10371,220111030101
"T1",10371,220111030201
"T1",10371,220111060701
"T1",10371,220111070401
"T1",10371,220111110201
"T1",10371,220111110801
"T1",10371,220111130201
"T1",10371,220111130501
"T1",10371,220111170801
"T1",10371,220111210201
"T1",10371,220111220101
"T1",10371,220111220401
"T1",10371,220111240101
"T1",10371,220111260101
"T1",10371,220111320501
"T1",10371,220111321201
"T1",10371,220111340201
"T1",10371,220111341101
"T1",10371,220111361101
"T1",10371,220111370701
"T1",10371,220111391301
"T1",10371,220111391601
"T1",10371,220111400401
"T1",10371,220111410701
"T1",10371,220111440401
"T1",10371,220111480601
"T1",10371,220130010201
"T1",10371,220130020601
"T1",10371,220320010701
"T1",10371,220320011401
"T1",10371,220320021201
"T1",10371,220320021501
"T1",10371,220320030401
"T1",10371,220320041201
"T1",10371,220330010401
"T1",10371,220330010501
"T1",10371,220330010601
"T1",10371,220330020101
"T1",10371,220330020701
"T1",10371,220330021301
"T1",10371,220330021501
"T1",10371,230110010101
"T1",10371,230110020201
"T1",10371,230110020301
"T1",10371,230110020501
"T1",10371,230110020701
"T1",10371,230110030401
"T1",10371,230110040701
"T1",10371,230110080201
"T1",10371,230110100401
"T1",10371,230110110601
"T1",10371,230110150601
"T1",10371,230110160201
"T1",10371,230110160801
"T1",10371,230110170301
"T1",10371,230110170401
"T1",10371,230110201501
"T1",10371,230110210401
"T1",10371,230130010101
"T1",10371,230130010601
"T1",10371,230130011201
"T1",10371,310110020101
"T1",10371,310110020201
