"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos"
"T356",0,1,1,1,0,0
"T357",0,1,1,1,0,0
"T358",1,0,0,1,0,0
"T359",1,0,1,1,0,0
"T360",0,1,1,1,0,0
"T361",1,0,1,1,0,0
"T362",1,1,0,1,0,0
"T363",0,1,0,1,0,0
"T364",0,1,1,1,0,0
"T365",0,0,1,0,0,0
"T366",0,0,1,0,0,0
"T367",1,0,1,0,0,0
"T368",1,0,0,0,0,0
"T369",1,0,0,0,0,0
"T370",0,1,1,0,0,0
"T371",0,0,0,0,0,0
"T372",0,0,1,0,0,0
"T373",0,0,1,0,0,0
"T374",0,0,1,0,0,0
"T375",0,0,1,0,0,0
"T376",1,0,1,0,0,0
"T377",1,0,1,0,0,0
"T378",0,1,1,0,0,0
"T379",0,1,0,0,0,0
"T380",0,0,1,0,0,0
"T381",0,1,0,0,0,0
"T382",0,1,1,0,0,0
"T383",0,1,1,0,0,0
"T384",1,0,1,0,0,0
"T385",0,1,1,0,0,0
"T386",0,1,1,0,0,0
"T387",0,1,1,0,0,0
"T388",0,1,1,0,0,0
"T389",0,1,1,0,0,0
"T390",0,1,1,0,0,0
"T391",0,0,0,0,0,0
"T392",0,0,1,0,0,0
"T393",1,0,0,0,0,0
"T394",0,0,1,0,0,0
"T395",1,0,0,0,0,0
"T396",0,0,1,0,0,0
"T397",0,1,1,0,0,0
"T398",1,0,1,0,0,0
"T399",1,0,0,0,0,0
"T400",1,0,1,0,0,0
"T401",1,0,0,0,0,0
"T402",1,0,1,0,0,0
"T403",1,0,0,0,0,0
"T404",0,1,0,0,0,0
"T405",1,1,1,0,0,0
"T406",0,1,0,0,0,0
"T407",1,0,1,0,0,0
"T408",1,0,1,0,0,0
"T409",0,1,1,0,0,0
"T410",0,1,0,0,0,0
"T411",0,1,1,0,0,0
"T412",0,1,0,0,0,0
"T413",0,0,1,0,0,0
"T414",0,1,1,0,0,0
"T415",0,1,1,0,0,0
"T416",0,0,0,0,0,0
"T417",1,0,1,0,0,0
"T418",1,0,0,0,0,0
"T419",1,1,1,0,0,0
"T420",1,1,0,0,0,0
"T421",1,0,1,0,0,0
"T422",1,0,0,0,0,0
"T423",1,0,0,0,0,0
"T424",0,0,1,0,0,0
"T425",0,1,1,0,0,0
"T426",0,0,0,0,0,0
"T427",0,1,0,0,0,0
"T428",0,1,1,0,0,0
"T429",1,1,0,0,0,0
"T430",0,1,1,0,0,0
"T431",0,1,1,0,0,0
"T432",0,1,1,0,0,0
"T433",0,0,0,0,0,0
"T434",0,1,1,0,0,0
"T435",1,0,0,0,0,0
"T436",1,1,1,0,0,0
"T437",1,0,1,0,0,0
"T438",1,0,0,0,0,0
"T439",0,1,0,0,0,0
"T440",1,0,0,0,0,0
"T441",0,1,1,0,0,0
"T442",1,0,0,0,0,0
"T443",1,1,0,0,0,0
"T444",1,1,1,0,0,0
"T445",1,0,1,0,0,0
"T446",0,1,1,0,0,0
"T447",0,1,1,0,0,0
"T448",1,1,0,0,0,0
"T449",0,1,1,0,0,0
"T450",0,0,1,0,0,0
"T451",1,0,1,0,0,0
"T452",1,1,1,0,0,0
"T453",0,0,0,0,0,0
"T454",1,1,0,0,0,0
"T455",1,1,1,0,0,0
"T456",0,0,1,0,0,0
"T457",0,0,0,1,0,0
"T458",0,0,0,1,0,0
"T459",0,1,0,1,0,0
"T460",0,0,0,1,0,0
"T461",0,0,0,1,0,0
"T462",0,0,0,1,1,0
"T463",0,1,0,1,0,0
"T464",1,0,0,1,0,0
"T465",1,0,0,1,0,0
"T466",0,0,0,1,0,0
"T467",1,0,0,1,0,0
"T468",0,0,0,1,1,0
"T469",1,0,1,1,0,0
"T470",1,0,0,1,0,0
"T471",0,0,0,1,0,0
"T472",1,0,0,1,0,0
"T473",1,0,0,1,0,0
"T474",0,1,0,1,0,0
"T475",0,0,0,1,0,0
"T476",0,0,1,1,0,0
"T477",1,0,0,1,0,0
"T478",0,0,0,1,1,0
"T479",1,0,0,1,0,0
"T480",0,1,1,1,0,0
"T481",0,1,1,1,0,0
"T482",0,0,0,1,0,0
"T483",0,0,1,1,0,0
"T484",0,0,0,1,0,0
"T485",0,0,0,1,1,0
"T486",0,1,1,1,0,0
"T487",0,0,1,1,0,0
"T488",1,0,0,1,0,0
"T489",0,0,1,1,0,0
"T490",1,1,1,1,0,0
"T491",0,1,0,1,0,0
"T492",0,0,0,1,0,0
"T493",0,0,0,1,0,0
"T494",1,0,0,1,0,0
"T495",0,1,1,1,0,0
"T496",1,0,0,1,0,0
"T497",0,1,1,1,0,0
"T498",1,1,0,1,0,0
"T499",0,0,0,1,0,0
"T500",1,0,1,1,0,0
"T501",0,0,1,1,0,0
"T502",1,1,0,1,0,0
"T503",0,0,1,1,0,0
"T504",0,1,0,1,0,0
"T505",0,0,1,1,0,0
"T506",0,1,1,1,0,0
"T507",0,0,1,1,0,0
"T508",1,1,0,1,0,0
"T509",0,0,0,1,0,0
"T510",1,0,0,1,0,0
"T511",1,1,0,1,0,0
"T512",1,0,0,1,0,0
"T513",1,1,1,1,0,0
"T514",1,0,1,1,0,0
"T515",1,0,0,1,0,0
