"Nodos","fingerprints","Frecuencia"
8,"1:4,2:2,3:2|1:7",2
8,"1:4,2:2,4:1,6:1|1:9",1
8,"1:4,2:2,4:1,8:1|1:10",1
8,"1:4,2:2,4:2|1:8",2
8,"1:4,2:3,4:1|1:7",1
8,"1:4,2:3,6:1|1:8",1
8,"1:4,3:2,0:1,2:1|1:6",2
8,"1:4,3:2,2:1,4:1|1:8",1
8,"1:4,3:2,2:1,8:1|1:10",1
8,"1:4,3:2,4:2|1:9",2
8,"1:4,4:2,2:1,6:1|1:10",2
8,"1:4,4:2,3:1,5:1|1:10",1
8,"1:4,4:4|1:10",1
8,"1:5,0:1,2:1,5:1|1:6",2
8,"1:5,0:1,3:1,4:1|1:6",1
8,"1:5,2:1,3:1,4:1|1:7",13
8,"1:5,2:1,3:1,6:1|1:8",2
8,"1:5,2:1,4:1,5:1|1:8",1
8,"1:5,2:2,3:1|1:6",1
8,"1:5,2:2,5:1|1:7",4
8,"1:5,3:2,7:1|1:9",2
8,"1:5,3:3|1:7",2
8,"1:5,5:2,3:1|1:9",1
8,"1:6,0:2|1:3",1
8,"1:6,2:1,6:1|1:7",1
8,"1:6,3:1,5:1|1:7",3
8,"1:6,3:2|1:6",2
8,"1:6,4:2|1:7",3
8,"1:6,5:2|1:8",1
8,"1:7,7:1|1:7",1
8,"2:2,3:2,4:2,1:1,5:1|1:12",1
8,"2:2,3:2,4:2,5:2|1:14",1
8,"2:2,4:2,0:1,1:1,3:1,6:1|1:11",1
8,"2:2,4:2,5:2,1:1,3:1|1:13",1
8,"2:3,0:1,1:1,3:1,4:1,8:1|1:11",1
8,"2:3,0:2,1:1,4:1,5:1|1:8",1
8,"2:3,0:2,1:1,5:1,6:1|1:9",2
8,"2:3,0:2,5:2,4:1|1:10",1
8,"2:3,1:2,0:1,3:1,5:1|1:8",2
8,"2:3,1:2,0:1,5:1,7:1|1:10",2
8,"2:3,1:2,3:1,4:1,5:1|1:10",4
8,"2:3,1:2,3:1,5:1,6:1|1:11",3
8,"2:3,1:2,3:1,6:1,7:1|1:12",1
8,"2:3,1:2,3:2,0:1|1:7",1
8,"2:3,1:2,3:2,8:1|1:11",1
8,"2:3,1:2,4:2,0:1|1:8",1
8,"2:3,1:2,5:2,0:1|1:9",1
8,"2:3,1:2,5:2,4:1|1:11",3
8,"2:3,1:2,6:2,0:1|1:10",1
8,"2:3,1:2,6:2,4:1|1:12",1
8,"2:3,3:2,0:1,1:1,7:1|1:10",1
8,"2:3,3:2,0:1,5:1,7:1|1:12",2
8,"2:3,3:2,1:1,5:1,6:1|1:12",1
8,"2:3,3:2,1:1,5:1,8:1|1:13",1
8,"2:3,3:2,4:2,0:1|1:10",2
8,"2:3,4:2,0:1,3:1,7:1|1:12",1
8,"2:3,4:2,1:1,5:1,6:1|1:13",2
8,"2:3,4:3,0:1,6:1|1:12",5
8,"2:3,4:3,1:1,7:1|1:13",2
8,"2:3,4:3,3:1,5:1|1:13",1
8,"2:3,4:3,3:2|1:12",1
8,"2:3,5:2,1:1,3:1,6:1|1:13",5
8,"2:3,5:3,0:1,3:1|1:12",2
8,"2:3,5:3,1:1,4:1|1:13",1
8,"2:3,5:3,3:1,4:1|1:14",2
8,"2:3,6:2,0:1,1:1,3:1|1:11",1
8,"2:4,0:1,1:1,5:1,6:1|1:10",2
8,"2:4,0:1,1:1,6:1,7:1|1:11",2
8,"2:4,0:2,6:2|1:10",3
8,"2:4,1:1,3:1,4:1,6:1|1:11",1
8,"2:4,1:1,4:1,5:1,6:1|1:12",1
8,"2:4,1:2,4:2|1:9",1
8,"2:4,1:2,5:1,7:1|1:11",1
8,"2:4,1:2,6:2|1:11",2
8,"2:4,1:2,7:2|1:12",1
8,"2:4,3:2,5:2|1:12",2
8,"2:4,3:2,6:1,8:1|1:14",1
8,"2:4,4:2,1:1,5:1|1:11",1
8,"2:4,4:2,5:1,7:1|1:14",5
8,"2:4,4:4|1:12",2
8,"2:4,5:2,3:1,7:1|1:14",1
8,"2:4,5:2,4:1,6:1|1:14",9
8,"2:4,6:2,0:1,4:1|1:12",3
8,"2:4,6:2,1:1,5:1|1:13",1
8,"2:4,6:2,3:1,5:1|1:14",5
8,"2:4,7:2,1:1,3:1|1:13",5
8,"2:5,1:1,5:1,6:1|1:11",2
8,"2:5,1:1,6:1,7:1|1:12",3
8,"2:5,1:1,7:1,8:1|1:13",6
8,"2:5,6:3|1:14",1
8,"2:5,7:2,0:1|1:12",3
8,"2:6,8:2|1:14",9
8,"3:3,1:2,2:2,5:1|1:10",1
8,"3:3,2:2,0:1,1:1,8:1|1:11",1
8,"3:3,2:2,1:1,5:1,7:1|1:13",1
8,"3:3,2:2,4:2,1:1|1:11",1
8,"3:3,2:2,5:2,1:1|1:12",1
8,"3:4,2:2,5:1,7:1|1:14",1
8,"4:3,0:2,1:2,2:1|1:8",1
8,"4:3,1:2,2:1,3:1,5:1|1:12",5
8,"4:3,2:2,1:1,3:1,6:1|1:13",3
8,"4:4,2:3,6:1|1:14",1
8,"5:3,1:2,2:2,3:1|1:12",2
8,"5:3,2:2,3:2,1:1|1:13",5
