"tipologia","Edad_promedio_jefe","Desviacion_edad_jefe","%_mujer_jefe","%_hombre_jefe","%_Urbano","%_Rural","%_Norte","%_Centro","%_Sur","%_Hogares_con_extranjero","%_Hogares_con_indigena","Ingreso_mediano","Q1","Q3","%_Hombres_promedio","Edad_promedio_hogar","Desviacion_edad_hogar","Tasa_desocupacion_promedio","Tasa_inactividad_promedio","%_Enfermos_promedio","Max_escolaridad_promedio","%_Hacinamiento_sin","%_Hacinamiento_medio","%_Hacinamiento_alto","%_Hacinamiento_critico","%_Pobreza_extrema","%_Pobreza_no_extremo","%_No_pobre","%_Multigeneracional","%_Sin_generacion_intermedia","%_Sin_adultos_mayores","%_Sin_menores_15","%_Solo_menores_15","%_Solo_15_64","%_Solo_mayores_64","%_Allegamiento_interno","%_Allegamiento_externo"
"T36",53.5,12.7,94.1,5.9,94.9,5.1,33.1,42.6,24.3,2.2,14.7,119850,75007.05,195418.95,37.5,28.3,17.8,0.179,0.456,26,14.1,0,0,0,0,0,0,0,8.8,0,79.4,11.8,0,0,0,100,0.7
"T37",39.2,8,33.6,66.4,89.8,10.2,25,42.2,32.8,15.6,22.7,161706,109299.95,253319.25,52.2,22.4,15.6,0.111,0.364,16.2,13.8,0,0,0,0,0,0,0,0.8,0,96.1,0,0,3.1,0,0,1.6
"T38",57.7,12.8,89.2,10.8,93.3,6.7,20,52.5,27.5,5.8,16.7,125298.8,80300.1,179058.75,39.3,28.3,21.7,0.161,0.402,25.5,13.6,0,0,0,0,0,0,0,24.2,0,67.5,8.3,0,0,0,100,0.8
"T39",48.4,12.3,39.2,60.8,91.2,8.8,22.5,47.1,30.4,8.8,18.6,169522.25,109910.666666667,251187.541666667,48.4,32.9,24.2,0.164,0.47,24.2,14.5,0,0,0,0,0,0,0,55.9,0,26.5,17.6,0,0,0,72.5,1
"T40",60.5,11.9,21.8,78.2,89.1,10.9,25.7,48.5,25.7,7.9,25.7,168838.333333333,125000,287055.666666667,52,36.4,25,0.106,0.454,35.1,14.4,0,0,0,0,0,0,0,51.5,0,38.6,9.9,0,0,0,100,3
"T41",63.4,12,87,13,94,6,21,45,34,6,19,163384.5,109135.625,235156.25,38,41,25.8,0.16,0.554,35.2,14.3,0,0,0,0,0,0,0,29,0,31,36,0,4,0,94,2
"T42",53.8,9,13.1,86.9,84.8,15.2,9.1,59.6,31.3,3,17.2,159649.166666667,97026.5833333333,212194.5,43.3,30,19.6,0.14,0.464,21.7,14.3,0,0,0,0,0,0,0,7.1,0,88.9,3,0,1,0,100,1
"T43",46.8,9.6,25.3,74.7,93.7,6.3,25.3,49.5,25.3,23.2,15.8,245740.166666667,104660,561527.75,49.3,29.8,19.3,0.111,0.408,17.2,15.3,0,0,0,0,0,0,0,17.9,0,58.9,8.4,0,14.7,0,48.4,1.1
"T44",57.6,10.6,23.9,76.1,88,12,16.3,50,33.7,2.2,23.9,201322.166666667,125026.75,292664.5,52.9,33.7,21,0.097,0.409,23,14.1,0,0,0,0,0,0,0,22.8,0,71.7,4.3,0,1.1,0,100,1.1
"T45",57.3,17.1,64,36,91,9,22.5,50.6,27,9,18,162038.75,88921,254228.5,50.6,41.5,16.2,0.144,0.542,32.9,13.2,0,0,0,0,0,0,0,10.1,3.4,12.4,34.8,0,36,3.4,78.7,2.2
"T46",42.8,9.7,58.6,41.4,96.6,3.4,29.9,46,24.1,17.2,23,189864,136069.3,319083.3,52,26.1,15.3,0.214,0.337,14.7,14.5,0,0,0,0,0,0,0,0,0,80.5,4.6,0,14.9,0,0,1.1
"T47",62,11,24.4,75.6,88.4,11.6,27.9,38.4,33.7,2.3,24.4,138178.916666667,97820.4166666667,204700.208333333,46.9,34.7,24.3,0.148,0.456,28.7,14.2,0,0,0,0,0,0,0,37.2,0,54.7,7,0,1.2,0,100,0
"T48",58.7,12.3,41.7,58.3,85.7,14.3,22.6,41.7,35.7,11.9,20.2,216790.75,133482.875,327161.1875,42.9,39.6,24.5,0.066,0.384,30.1,13.7,0,0,0,0,0,0,0,28.6,0,56,9.5,0,6,0,100,1.2
